"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SF3B6",1.03789603387324e-06,0.506748613342559,0.962,0.974,0.0349708689653249
"GABRP",1.16237428363912e-06,0.821011366539188,0.942,0.852,0.0391650391129364
"FKBP4",1.17628406555314e-06,-0.628555636983186,0.827,0.938,0.0396337153047476
"ST6GAL1",1.20577304692775e-06,0.710770797485399,0.712,0.269,0.0406273170431836
"CREB3L4",1.21615505355502e-06,-0.60009807337672,0.577,0.821,0.0409771283744828
"YBX3",1.24204445182881e-06,-0.458826281455015,0.942,0.977,0.04184944575992
"DNAJC10",1.24966358295984e-06,-0.670815262935335,0.404,0.599,0.0421061647642489
"ETNK2",1.30042707622803e-06,-0.636337851350585,0.173,0.471,0.0438165899064272
"C1QL4",1.37434901766755e-06,-0.870371257333141,0.135,0.435,0.0463073158012903
"SLC1A5",1.37740774006862e-06,-0.608748790931242,0.558,0.75,0.046410376393872
